No of words,Polysemy Detected words based on Wordnet 
2263,un
2264,february
2265,geeks
2266,gemini
2267,incentive
2268,photograph
2269,feeding
2270,leaf
2271,priority
2272,underground
2273,sit
2274,treating
2275,maximum
2276,clambering
2277,urging
2278,ridicules
2279,interesting
2280,california
2281,survived
2282,writes
2283,dilemma
2284,eve
2285,bent
2286,contributed
2287,bundle
2288,stupider
2289,petition
2290,numbers
2291,arrested
2292,game
2293,develops
2294,deterrence
2295,powerfully
2296,reality
2297,responded
2298,regarding
2299,belt
2300,defecting
2301,fur
2302,republicans
2303,gap
2304,reminds
2305,tyranni
2306,dead
2307,soon
2308,substandard
2309,morning
2310,basic
2311,secured
2312,summation
2313,heard
2314,artist
2315,reaction
2316,pretend
2317,kharkov
2318,bread
2319,pupil
2320,abducted
2321,arabia
2322,worth
2323,new
2324,normalize
2325,mus
2326,meanwhile
2327,conducting
2328,nation
2329,acute
2330,textbook
2331,rating
2332,girl
2333,drill
2334,arnold
2335,accepting
2336,calm
2337,contends
2338,forbade
2339,hypocrisy
2340,defend
2341,switzerland
2342,commodities
2343,bad
2344,overshadowed
2345,tide
2346,prayer
2347,achievable
2348,testimony
2349,ful
2350,importance
2351,run
2352,register
2353,desperately
2354,organize
2355,ineffective
2356,gagarin
2357,taliban
2358,aide
2359,barbarism
2360,disconnect
2361,promote
2362,written
2363,fuck
2364,approved
2365,numerous
2366,brent
2367,cheerful
2368,gaining
2369,ireland
2370,sleeping
2371,telling
2372,donation
2373,pat
2374,rumour
2375,full
2376,long
2377,becomes
2378,happen
2379,replacement
2380,extend
2381,rock
2382,folly
2383,sharply
2384,naive
2385,mostly
2386,stark
2387,colored
2388,shipment
2389,dislike
2390,lions
2391,carnage
2392,trim
2393,hancock
2394,mercies
2395,jet
2396,freed
2397,hoping
2398,ethical
2399,good
2400,bolster
2401,main
2402,implies
2403,work
2404,riot
2405,gruelling
2406,acting
2407,change
2408,scared
2409,blockage
2410,cabinet
2411,disclosed
2412,speed
2413,rescuing
2414,release
2415,advanced
2416,survivor
2417,secretive
2418,real
2419,engineer
2420,ward
2421,defensive
2422,hugely
2423,relations
2424,ideology
2425,failure
2426,warfare
2427,suggests
2428,quiet
2429,otherwise
2430,transferring
2431,used
2432,teasers
2433,stated
2434,spent
2435,civilized
2436,pas
2437,closely
2438,admitting
2439,paraded
2440,guards
2441,monstrous
2442,times
2443,climate
2444,germany
2445,context
2446,cod
2447,arrest
2448,barrack
2449,injury
2450,shaping
2451,bomb
2452,focused
2453,moving
2454,implication
2455,saudi
2456,millions
2457,sickle
2458,tower
2459,supporting
2460,canceled
2461,accessing
2462,depends
2463,adopt
2464,hats
2465,dm
2466,assembly
2467,obviously
2468,wants
2469,made
2470,saceur
2471,discriminate
2472,access
2473,send
2474,restore
2475,surgery
2476,walking
2477,secondary
2478,narrow
2479,representative
2480,outstanding
2481,rogers
2482,tornado
2483,start
2484,symbolises
2485,damaging
2486,entrenching
2487,sleek
2488,participation
2489,locals
2490,delayed
2491,prague
2492,road
2493,attacked
2494,unfit
2495,encouraged
2496,bubble
2497,prof
2498,defending
2499,bought
2500,incompatible
2501,nigh
2502,drawing
2503,prime
2504,grotesque
2505,declared
2506,gentiles
2507,information
2508,son
2509,disgusted
2510,elbow
2511,hostile
2512,perspective
2513,raised
2514,five
2515,unreachable
2516,terminator
2517,idps
2518,czech
2519,northwestern
2520,signal
2521,border
2522,scott
2523,tehran
2524,glove
2525,destroys
2526,contest
2527,shouting
2528,totally
2529,pitching
2530,ct
2531,obi
2532,province
2533,occupation
2534,wall
2535,meaning
2536,artillery
2537,propagandist
2538,surround
2539,add
2540,evacuating
2541,air-to-ground
2542,regained
2543,tchaikovsky
2544,nm
2545,snoring
2546,progress
2547,okay
2548,damn
2549,gentle
2550,purge
2551,appointment
2552,halted
2553,federal
2554,oh
2555,vaccine
2556,committee
2557,frightened
2558,abstained
2559,beat
2560,orthodox
2561,welcome
2562,loop
2563,substantial
2564,elk
2565,formidable
2566,dire
2567,historic
2568,debacle
2569,migrant
2570,tilted
2571,hughes
2572,right
2573,awe-inspiring
2574,commercial
2575,distance
2576,billion
2577,laundering
2578,usa
2579,recommended
2580,truly
2581,specie
2582,rifle
2583,counterpart
2584,latvian
2585,decreased
2586,surrendering
2587,birthday
2588,fuel
2589,multiply
2590,legalised
2591,crushing
2592,group
2593,total
2594,blatant
2595,great
2596,distribution
2597,need
2598,games
2599,phone
2600,think
2601,count
2602,ticket
2603,displacing
2604,man-made
2605,piano
2606,illustration
2607,expected
2608,categorically
2609,fairy
2610,reflected
2611,underway
2612,want
2613,ice
2614,opening
2615,rs
2616,chance
2617,cash
2618,finest
2619,intimidation
2620,targeting
2621,read
2622,support
2623,handful
2624,favour
2625,scene
2626,martyred
2627,fantastical
2628,resulted
2629,difficult
2630,attended
2631,break
2632,prosecution
2633,decide
2634,defying
2635,rises
2636,km
2637,carter
2638,spring
2639,template
2640,humanity
2641,side
2642,staff
2643,harvest
2644,strong
2645,forces
2646,proven
2647,later
2648,interest
2649,gather
2650,chained
2651,sky-high
2652,repulsive
2653,displacement
2654,expense
2655,extra
2656,seoul
2657,warmth
2658,build
2659,apologize
2660,pariah
2661,justify
2662,darkness
2663,cleared
2664,arsehole
2665,shocking
2666,congregation
2667,washington
2668,ni
2669,tradition
2670,swiss
2671,accelerating
2672,submarine
2673,article
2674,hear
2675,tweeted
2676,representatives
2677,coast
2678,estonia
2679,contract
2680,kill
2681,children
2682,share
2683,fully
2684,journey
2685,officer
2686,sole
2687,ruinous
2688,general
2689,bringing
2690,hide
2691,fiction
2692,implementing
2693,ten
2694,sms
2695,warsaw
2696,english
2697,comfortable
2698,catch
2699,global
2700,foundation
2701,callous
2702,union
2703,martins
2704,pimped
2705,monetary
2706,recognize
2707,dogs
2708,stuffed
2709,sources
2710,witnessed
2711,form
2712,petrol
2713,vet
2714,station
2715,suppression
2716,holocaust
2717,deeper
2718,sugar
2719,park
2720,wont
2721,mph
2722,mum
2723,kind
2724,unique
2725,hun
2726,military
2727,unleashed
2728,visiting
2729,donbas
2730,armour
2731,product
2732,play
2733,volunteered
2734,pact
2735,gandhi
2736,gone
2737,pod
2738,nazis
2739,agenda
2740,knew
2741,sparing
2742,peace
2743,recruitment
2744,inspire
2745,escalates
2746,system
2747,ax
2748,wrote
2749,emergency
2750,western
2751,solution
2752,greatest
2753,benefiting
2754,served
2755,air
2756,mistakes
2757,within
2758,assistance
2759,federation
2760,water
2761,avoiding
2762,babel
2763,placard
2764,affecting
2765,sale
2766,female
2767,history
2768,assume
2769,seen
2770,horrendous
2771,distinction
2772,ubiquitous
2773,mounting
2774,missiles
2775,stepped
2776,spaces
2777,grave
2778,captured
2779,dimness
2780,afternoon
2781,unable
2782,dialogue
2783,charisma
2784,rally
2785,greatness
2786,rep
2787,homeowners
2788,condemns
2789,navy
2790,absurd
2791,shelling
2792,peer
2793,non-jews
2794,favourable
2795,see
2796,original
2797,headquarters
2798,stay
2799,stifle
2800,whimsical
2801,ship
2802,domino
2803,messy
2804,bombs
2805,sledge
2806,deliberate
2807,mind
2808,morally
2809,using
2810,dismisses
2811,identity
2812,animal
2813,elliptic
2814,worthy
2815,washed
2816,exhausted
2817,forum
2818,immobilizing
2819,combatting
2820,stability
2821,zombie
2822,bomber
2823,colleague
2824,aids
2825,armored
2826,arrival
2827,fray
2828,prominent
2829,stroller
2830,stranded
2831,cook
2832,z
2833,fodder
2834,buying
2835,americans
2836,ses
2837,potato
2838,moment
2839,olympian
2840,imbecilic
2841,goodbye
2842,minus
2843,weighs
2844,boarding
2845,newspaper
2846,daughter
2847,full-scale
2848,newsagent
2849,software
2850,promoting
2851,tourist
2852,legalize
2853,arts
2854,dictatorship
2855,hangar
2856,orchestrated
2857,admirer
2858,scuttling
2859,shell
2860,hardly
2861,duty
2862,sum
2863,charlatan
2864,subway
2865,sunny
2866,satisfied
2867,creed
2868,mole
2869,victory
2870,greater
2871,inspiring
2872,interested
2873,providing
2874,unknown
2875,go
2876,distant
2877,discounted
2878,chronicle
2879,psychiatric
2880,inspecting
2881,sos
2882,pickup
2883,prepared
2884,mp
2885,wielding
2886,singing
2887,honour
2888,recruiting
2889,dare
2890,sanctioned
2891,wreaks
2892,organized
2893,tracking
2894,well
2895,wheat
2896,unchecked
2897,american
2898,identify
2899,lethal
2900,everyday
2901,poll
2902,fearing
2903,cessation
2904,bigger
2905,blown
2906,xi
2907,commanding
2908,universe
2909,charged
2910,charge
2911,warm
2912,aftermath
2913,up-to-date
2914,madman
2915,transportation
2916,demand
2917,bombed
2918,produce
2919,caring
2920,aided
2921,tolstoy
2922,hold
2923,knife
2924,sense
2925,division
2926,magnetometer
2927,cure
2928,blooded
2929,divided
2930,argued
2931,leader
2932,map
2933,reconstruction
2934,fellow
2935,tenacious
2936,participates
2937,liberty
2938,cleansing
2939,kilometer
2940,graphic
2941,finding
2942,scattering
2943,wallet
2944,effort
2945,hospitals
2946,august
2947,covered
2948,provision
2949,take
2950,paying
2951,wannabe
2952,designed
2953,seeing
2954,tanzania
2955,collecting
2956,moscow
2957,alcohol
2958,sic
2959,pouring
2960,gum
2961,firm
2962,partition
2963,determination
2964,persuading
2965,clarified
2966,dictatorial
2967,hardened
2968,hall
2969,friendly
2970,shattered
2971,authority
2972,freshly
2973,knockout
2974,thread
2975,horrified
2976,clothes
2977,amount
2978,warns
2979,death
2980,violate
2981,shot
2982,counselling
2983,fighting
2984,painted
2985,learnt
2986,writ
2987,curiously
2988,vietnam
2989,experiencing
2990,combatants
2991,bookings
2992,shy
2993,theme
2994,page
2995,intention
2996,outpouring
2997,hurry
2998,effective
2999,cover
3000,bush
3001,elect
3002,newly
3003,police
3004,activity
3005,royal
3006,decision
3007,violates
3008,tougher
3009,superpower
3010,cocoa
3011,precisely
3012,cereal
3013,pierre
3014,cocaine
3015,freedom
3016,asshole
3017,assure
3018,brandishing
3019,stain
3020,friendliest
3021,thermostat
3022,youth
3023,settlement
3024,adam
3025,dirty
3026,man
3027,huge
3028,stadium
3029,nurture
3030,useing
3031,search
3032,joseph
3033,coordinate
3034,imo
3035,us
3036,package
3037,incredible
3038,maybe
3039,posting
3040,highlight
3041,baron
3042,censored
3043,memory
3044,clowns
3045,network
3046,eat
3047,held
3048,gym
3049,bren
3050,hypocrite
3051,gop
3052,grab
3053,marine
3054,last
3055,amazed
3056,fled
3057,relocation
3058,communication
3059,televised
3060,meet
3061,dedication
3062,rumor
3063,brings
3064,territory
3065,chanting
3066,breakaway
3067,manner
3068,kiss
3069,matrix
3070,dissolved
3071,escaped
3072,rocket
3073,willingly
3074,air-to-surface
3075,vomited
3076,oppose
3077,trained
3078,wearing
3079,subtitle
3080,recapped
3081,ali
3082,throw
3083,laid
3084,going
3085,route
3086,boil
3087,angel
3088,sanctuary
3089,houses
3090,scary
3091,displayed
3092,conscript
3093,god
3094,headed
3095,ki
3096,old
3097,investigation
3098,peter
3099,suitable
3100,pronunciation
3101,coat
3102,europes
3103,maiden
3104,id
3105,connect
3106,telephone
3107,residual
3108,roaming
3109,spend
3110,gomorrah
3111,windfall
3112,gullible
3113,horse
3114,leo
3115,belgium
3116,cant
3117,announce
3118,paramedic
3119,draw
3120,kharkiv
3121,militia
3122,debate
3123,tb
3124,shit
3125,sympathy
3126,loathed
3127,genuinely
3128,raising
3129,lets
3130,surplus
3131,inside
3132,filling
3133,adult
3134,easier
3135,scoot
3136,unworthy
3137,assassin
3138,australia
3139,ammo
3140,data
3141,meaningless
3142,standard
3143,recourse
3144,ago
3145,bid
3146,wave
3147,called
3148,ferrying
3149,turmoil
3150,deadlier
3151,kidnap
3152,redirects
3153,force
3154,wondering
3155,deny
3156,video
3157,consider
3158,seize
3159,create
3160,summer
3161,write-off
3162,wrong
3163,dog
3164,dad
3165,urgent
3166,compared
3167,canvas
3168,monk
3169,brave
3170,explains
3171,alliance
3172,driver
3173,building
3174,slap
3175,thai
3176,glory
3177,result
3178,bordering
3179,illinois
3180,uplifting
3181,delivering
3182,featuring
3183,classified
3184,accusing
3185,personnel
3186,switch
3187,murdered
3188,tweeting
3189,belonging
3190,heat
3191,critical
3192,lost
3193,user
3194,disable
3195,imagery
3196,aegis
3197,laughable
3198,cent
3199,silver
3200,aurora
3201,interference
3202,worthless
3203,arriving
3204,refuge
3205,response
3206,sorrow
3207,low
3208,repulsed
3209,stopped
3210,killed
3211,fri
3212,confirmed
3213,trafficker
3214,autumn
3215,de
3216,earn
3217,process
3218,activist
3219,gang
3220,strategy
3221,showing
3222,levelling
3223,p
3224,recognition
3225,eastern
3226,stupid
3227,social
3228,navigate
3229,asking
3230,bus
3231,essential
3232,blue
3233,choose
3234,distributes
3235,nato
3236,payload
3237,spawn
3238,projected
3239,innocent
3240,bench
3241,gates
3242,entering
3243,hacking
3244,snout
3245,factor
3246,amnesty
3247,thank
3248,thug
3249,rescue
3250,violence
3251,settled
3252,anywhere
3253,department
3254,perturbed
3255,favor
3256,scare
3257,protester
3258,conscription
3259,teach
3260,irish
3261,accordingly
3262,human
3263,economists
3264,murder
3265,exploitation
3266,make
3267,explosive
3268,rapper
3269,pale
3270,rebuilding
3271,choosing
3272,enjoying
3273,sunset
3274,dispute
3275,maintain
3276,optimized
3277,ova
3278,h
3279,national
3280,tension
3281,similar
3282,pollution
3283,alexander
3284,bright
3285,mary
3286,wood
3287,controlling
3288,weep
3289,element
3290,keep
3291,symbolise
3292,unanimously
3293,staged
3294,strange
3295,quarterback
3296,prosecutor
3297,acquaintance
3298,painting
3299,occupying
3300,discount
3301,needs
3302,fun
3303,continues
3304,projection
3305,borderline
3306,trend
3307,child
3308,wild
3309,episode
3310,indias
3311,determined
3312,based
3313,steps
3314,full-fledged
3315,eternal
3316,turn
3317,david
3318,kingdom
3319,urged
3320,clean
3321,clicked
3322,sunday
3323,sunflower
3324,europe
3325,milk
3326,satellite
3327,experience
3328,bias
3329,quality
3330,artistic
3331,legally
3332,ignored
3333,select
3334,artwork
3335,dozens
3336,min
3337,impeach
3338,sick
3339,shameful
3340,terror
3341,discern
3342,offer
3343,impossible
3344,command
3345,sacked
3346,disturbance
3347,near
3348,istanbul
3349,education
3350,heres
3351,expel
3352,commend
3353,wondered
3354,dropping
3355,stand
3356,brilliant
3357,pissed
3358,legislation
3359,ok
3360,pull
3361,topped
3362,morale
3363,happening
3364,saying
3365,latin
3366,impassioned
3367,kilo
3368,contractor
3369,geography
3370,success
3371,carrying
3372,hated
3373,vaccinating
3374,striking
3375,city
3376,watershed
3377,dnipropetrovsk
3378,k
3379,issue
3380,check
3381,argument
3382,location
3383,require
3384,monger
3385,true
3386,expect
3387,heaviest
3388,encounter
3389,alligator
3390,chief
3391,complete
3392,infiltration
3393,sound
3394,flank
3395,guardian
3396,rubble
3397,fortunately
3398,cosy
3399,studies
3400,fall
3401,pick
3402,metro
3403,packet
3404,organising
3405,banned
3406,spewing
3407,might
3408,countless
3409,autocrat
3410,sent
3411,apple
3412,nt
3413,vestige
3414,admired
3415,flatten
3416,actually
3417,illusion
3418,contribution
3419,symbol
3420,petting
3421,gift
3422,connecticut
3423,pushed
3424,safer
3425,entered
3426,negotiator
3427,destined
3428,authoritarian
3429,pope
3430,contact
3431,thus
3432,draft
3433,dealing
3434,flags
3435,worker
3436,somehow
3437,newsletter
3438,strategic
3439,ensure
3440,ono
3441,stage
3442,prize
3443,fine
3444,labor
3445,unfurled
3446,prosecuting
3447,locate
3448,establishment
3449,deeply
3450,grinding
3451,j
3452,rest
3453,smile
3454,met
3455,threatened
3456,russias
3457,startup
3458,office
3459,pulling
3460,angry
3461,pocket
3462,consent
3463,invalid
3464,palace
3465,northeast
3466,conference
3467,probably
3468,fair
3469,hot
3470,liberation
3471,height
3472,mass
3473,universal
3474,spanish
3475,inventive
3476,representation
3477,marathon
3478,incident
3479,operations
3480,nasser
3481,snow
3482,star
3483,capture
3484,uninterrupted
3485,fires
3486,ca
3487,physician
3488,shock
3489,mediator
3490,leaked
3491,establish
3492,cross
3493,meat
3494,box
3495,position
3496,mandate
3497,trending
3498,archive
3499,sending
3500,lennon
3501,destroying
3502,inhumanity
3503,healthcare
3504,accomplice
3505,drone
3506,bullet
3507,asset
3508,spin
3509,health
3510,loved
3511,says
3512,sabotage
3513,suture
3514,democratic
3515,epic
3516,relief
3517,nerve
3518,insulting
3519,missile
3520,coverage
3521,high
3522,base
3523,altered
3524,orange
3525,facing
3526,hug
3527,defines
3528,serpent
3529,bangkok
3530,self-defense
3531,disrupted
3532,raging
3533,talented
3534,coincidences
3535,sends
3536,harassment
3537,accident
3538,chant
3539,greetings
3540,hunt
3541,encryption
3542,unload
3543,truck
3544,whooping
3545,physics
3546,pipeline
3547,isolate
3548,guilty
3549,abused
3550,shared
3551,shadow
3552,reading
3553,honestly
3554,kidnapped
3555,april
3556,empower
3557,shop
3558,feared
3559,na
3560,bombarding
3561,faith
3562,frame
3563,polarisation
3564,lashkar-e-taiba
3565,rallied
3566,dissent
3567,iran
3568,attend
3569,return
3570,ordinance
3571,generals
3572,advised
3573,streaming
3574,courage
3575,picked
3576,local
3577,announces
3578,pa
3579,cream
3580,fold
3581,except
3582,larger
3583,ar
3584,trains
3585,associated
3586,hard-hitting
3587,creator
3588,safety
3589,right-wing
3590,considering
3591,coercion
3592,able
3593,remake
3594,place
3595,comes
3596,nazism
3597,expose
3598,wage
3599,bedroom
3600,region
3601,evidence
3602,service
3603,said
3604,crimes
3605,probable
3606,correct
3607,equal
3608,committing
3609,fifty
3610,mfa
3611,stream
3612,whine
3613,humor
3614,oath
3615,cappuccino
3616,bin
3617,strongest
3618,sung
3619,style
3620,eu
3621,sorry
3622,foam
3623,serbia
3624,taira
3625,programme
3626,assault
3627,eye
3628,arrogance
3629,mandarin
3630,tucker
3631,chemical
3632,enters
3633,achieving
3634,defended
3635,credit
3636,goulash
3637,forest
3638,conspiracy
3639,placed
3640,organisation
3641,profited
3642,impressive
3643,headline
3644,reallocation
3645,managing
3646,reliable
3647,heart
3648,throughout
3649,cowardly
3650,marred
3651,speaking
3652,pansy
3653,stabilizing
3654,witnessing
3655,pedal
3656,models
3657,medium
3658,possible
3659,rollback
3660,difference
3661,booed
3662,immediate
3663,augustine
3664,happiness
3665,useful
3666,symbolic
3667,far
3668,wire
3669,unit
3670,turned
3671,oslo
3672,ordeal
3673,beloved
3674,flee
3675,burying
3676,greeks
3677,online
3678,pledge
3679,international
3680,broken
3681,trading
3682,moreover
3683,feel
3684,reception
3685,deepest
3686,oppressed
3687,annihilation
3688,lower
3689,betrayal
3690,simplicity
3691,bespoke
3692,possession
3693,anarchist
3694,elder
3695,clip
3696,fossil
3697,vice
3698,weaponry
3699,contains
3700,report
3701,desperate
3702,gnawed
3703,serbian
3704,presumably
3705,gradually
3706,fill
3707,agreement
3708,marksman
3709,unquestionable
3710,intercept
3711,preventing
3712,medication
3713,delicious
3714,tipping
3715,supremacy
3716,book
3717,aggressor
3718,simply
3719,contingent
3720,german
3721,virgin
3722,compensation
3723,imam
3724,broadcast
3725,internal
3726,split
3727,xavier
3728,mann
3729,dominate
3730,decides
3731,due
3732,interactive
3733,african-american
3734,pies
3735,realize
3736,fellowship
3737,natos
3738,paralyzed
3739,alaska
3740,sea
3741,jacob
3742,traitor
3743,church
3744,provisional
3745,arrests
3746,impacted
3747,pushing
3748,specializes
3749,boxing
3750,bunker
3751,recorded
3752,rampage
3753,accountant
3754,publicly
3755,courageous
3756,bury
3757,crescent
3758,denounced
3759,depot
3760,women
3761,pussy
3762,dumber
3763,solider
3764,reported
3765,ground
3766,solve
3767,humility
3768,wreak
3769,choice
3770,represent
3771,norway
3772,talked
3773,revolt
3774,let
3775,track
3776,cope
3777,rate
3778,aware
3779,coalition
3780,wore
3781,unchanged
3782,explorer
3783,south
3784,syria
3785,directly
3786,grad
3787,false
3788,delegation
3789,fixing
3790,atrocity
3791,invention
3792,somalis
3793,taking
3794,jolly
3795,independence
3796,leadership
3797,edit
3798,luxury
3799,neat
3800,bob
3801,escaping
3802,catastrophe
3803,fin
3804,surrender
3805,timely
3806,fought
3807,convince
3808,finish
3809,jew
3810,saving
3811,poverty
3812,word
3813,turkey
3814,problem
3815,green
3816,ministers
3817,thirty
3818,boat
3819,sympathizer
3820,emerge
3821,showed
3822,tantrum
3823,title
3824,fox
3825,opposition
3826,pity
3827,shake
3828,belief
3829,investing
3830,jesus
3831,shooting
3832,scheme
3833,assets
3834,happy
3835,ticking
3836,neutral
3837,thing
3838,haul
3839,collapsing
3840,reply
3841,aerial
3842,remote
3843,evil
3844,rn
3845,resilient
3846,releasing
3847,invader
3848,player
3849,ottoman
3850,estimate
3851,drug
3852,vigil
3853,globalization
3854,happened
3855,ban
3856,strait
3857,counterattack
3858,feeling
3859,erasing
3860,defeat
3861,fly
3862,vessel
3863,condensed
3864,surely
3865,alternative
3866,defined
3867,reaching
3868,condemn
3869,pant
3870,document
3871,tuition
3872,normal
3873,ai
3874,circumstance
3875,move
3876,aggressively
3877,tune
3878,email
3879,gesture
3880,sacking
3881,caput
3882,ethnic
3883,oxygen
3884,double
3885,watched
3886,legalized
3887,detail
3888,two
3889,israel
3890,misguided
3891,apostles
3892,odesa
3893,upcoming
3894,represented
3895,performance
3896,rebound
3897,gravely
3898,glass
3899,integration
3900,flowing
3901,tin
3902,restored
3903,visibility
3904,expressing
3905,speech
3906,necessary
3907,smothered
3908,imagined
3909,spoke
3910,analogue
3911,gunfire
3912,repair
3913,campaign
3914,director
3915,reveal
3916,racket
3917,affected
3918,wish
3919,competition
3920,seven
3921,distraction
3922,freelance
3923,future
3924,psychology
3925,disruption
3926,seeks
3927,knowing
3928,stabbed
3929,counting
3930,jakarta
3931,wow
3932,counter
3933,father
3934,hired
3935,integrity
3936,precision
3937,sciences
3938,liars
3939,chat
3940,coffee
3941,irak
3942,x
3943,bacon
3944,jr
3945,crop
3946,revealed
3947,invisible
3948,sell
3949,exhaustion
3950,installation
3951,often
3952,minted
3953,seller
3954,bravest
3955,flooding
3956,experiment
3957,decided
3958,ne
3959,overwhelm
3960,brushing
3961,paint
3962,experimenting
3963,saddest
3964,absolute
3965,dissuaded
3966,convincing
3967,thinking
3968,rice
3969,industry
3970,unfortunately
3971,provides
3972,imperialist
3973,proof
3974,departures
3975,floating
3976,ill-gotten
3977,ending
3978,annihilated
3979,sustains
3980,casualty
3981,straight
3982,educated
3983,supported
3984,curb
3985,prospect
3986,lineage
3987,utilize
3988,took
3989,paris
3990,ancient
3991,mod
3992,consult
3993,rape
3994,destruction
3995,denied
3996,girls
3997,aim
3998,workers
3999,hardest
4000,fear
4001,guidance
4002,scaled
4003,independent
4004,bloody
4005,fouled
4006,dante
4007,urgently
4008,supporter
4009,institutionalised
4010,imf
4011,repetition
4012,cia
4013,picking
4014,theater
4015,orgy
4016,raid
4017,ada
4018,controversy
4019,relaxation
4020,hr
4021,cluster
4022,recreated
4023,dear
4024,swift
4025,inducing
4026,cold
4027,condemned
4028,atticus
4029,shamelessly
4030,emotional
4031,subvert
4032,meditation
4033,tested
4034,practice
4035,movement
4036,jared
4037,rune
4038,action
4039,supposed
4040,created
4041,crash
4042,armament
4043,face
4044,italy
4045,dirtier
4046,erasure
4047,united
4048,tactic
4049,fruit
4050,optic
4051,declaring
4052,judging
4053,grounded
4054,mile
4055,ab
4056,threatening
4057,surprised
4058,direction
4059,mercenary
4060,bladder
4061,outrage
4062,genealogy
4063,unsolicited
4064,amazing
4065,famine
4066,japan
4067,posed
4068,genetic
4069,demonstrate
4070,negative
4071,strengthen
4072,vital
4073,priest
4074,virtual
4075,mystics
4076,east
4077,stopping
4078,resistance
4079,jones
4080,mom
4081,subscribers
4082,defense
4083,definitely
4084,viewed
4085,fighters
4086,administration
4087,giddy
4088,nightmare
4089,condoned
4090,glorify
4091,enormous
4092,science
4093,lloyd
4094,pour
4095,agent
4096,friend
4097,pump
4098,situation
4099,exhibition
4100,glow
4101,risks
4102,clearer
4103,poetry
4104,hq
4105,bracing
4106,concept
4107,defends
4108,deadliest
4109,purchases
4110,delete
4111,reason
4112,energy
4113,week
4114,detection
4115,mattered
4116,follows
4117,planning
4118,spectacular
4119,responsible
4120,torture
4121,reports
4122,large
4123,pure
4124,sinner
4125,township
4126,mystery
4127,instinct
4128,blame
4129,fleeing
4130,plea
4131,ak
4132,attention
4133,cyril
4134,yet
4135,carried
4136,bribed
4137,lights
4138,consequence
4139,invite
4140,palestine
4141,jam
4142,concluded
4143,live
4144,lesson
4145,max
4146,mothers
4147,putin
4148,mortar
4149,disrupting
4150,room
4151,intervene
4152,removing
4153,fascist
4154,utc
4155,examine
4156,meagre
4157,headstone
4158,advisory
4159,forgetting
4160,travelled
4161,abuzz
4162,rent
4163,commendable
4164,topic
4165,butcher
4166,odds
4167,listeners
4168,backed
4169,beginning
4170,prostitution
4171,odor
4172,sign
4173,captivity
4174,thrive
4175,learn
4176,eagle
4177,fertilise
4178,short
4179,coordinating
4180,decisive
4181,jumped
4182,list
4183,abusive
4184,neighboring
4185,edition
4186,glimpse
4187,amp
4188,erratic
4189,exclusively
4190,membership
4191,even
4192,disassemble
4193,maneuvering
4194,triple
4195,toast
4196,britons
4197,gun
4198,society
4199,defiant
4200,sooner
4201,armenians
4202,teeth
4203,loathe
4204,must
4205,precise
4206,surrounded
4207,ottawa
4208,politics
4209,destination
4210,survive
4211,bird
4212,magical
4213,isolated
4214,state
4215,pleased
4216,captain
4217,brought
4218,australians
4219,centers
4220,occupied
4221,threw
4222,volatility
4223,dressed
4224,secretly
4225,capitalism
4226,deadly
4227,remainder
4228,know
4229,cm
4230,mint
4231,wait
4232,devastating
4233,theory
4234,ally
4235,also
4236,awake
4237,conceal
4238,hire
4239,smell
4240,area
4241,rethink
4242,kiev
4243,conservatives
4244,officials
4245,abandoned
4246,imprison
4247,aleppo
4248,serving
4249,agreed
4250,willing
4251,gods
4252,prevail
4253,hygiene
4254,loot
4255,slingshot
4256,unwarranted
4257,facility
4258,die
4259,component
4260,ensign
4261,located
4262,neighborhood
4263,sponsoring
4264,diverted
4265,nobody
4266,checked
4267,working
4268,recently
4269,internet
4270,program
4271,letting
4272,mortal
4273,athens
4274,golden
4275,biggest
4276,collaboration
4277,drones
4278,drinking
4279,poison
4280,eatery
4281,berlin
4282,expressed
4283,front
4284,marched
4285,arguing
4286,simple
4287,settler
4288,wider
4289,widespread
4290,steal
4291,student
4292,insight
4293,tit
4294,ongoing
4295,came
4296,accommodate
4297,reporting
4298,character
4299,running
4300,dusted
4301,systems
4302,depict
4303,destabilise
4304,sensitivity
4305,reparation
4306,ordinary
4307,village
4308,coup
4309,thought
4310,miserable
4311,impact
4312,landscape
4313,assert
4314,stinger
4315,disgraced
4316,remittance
4317,application
4318,silence
4319,collaborator
4320,writer
4321,beneath
4322,recurring
4323,depart
4324,claim
4325,added
4326,visit
4327,blow
4328,cake
4329,present
4330,implicit
4331,criminalized
4332,john
4333,stealing
4334,missionaries
4335,reef
4336,failed
4337,stood
4338,somewhat
4339,agree
4340,someone
4341,struggle
4342,images
4343,author
4344,website
4345,demonstrated
4346,troll
4347,hf
4348,token
4349,song
4350,bring
4351,leading
4352,laptop
4353,hind
4354,calls
4355,eleven
4356,dc
4357,winning
4358,medevac
4359,investigate
4360,voice
4361,outfit
4362,mini
4363,balance
4364,judge
4365,hurt
4366,known
4367,invasive
4368,poster
4369,knows
4370,shape
4371,tens
4372,filed
4373,click
4374,got
4375,wan
4376,reversing
4377,brits
4378,worked
4379,emperor
4380,imp
4381,organizing
4382,sg
4383,statement
4384,bend
4385,jefferson
4386,ball
4387,neutralising
4388,dreadful
4389,embarking
4390,completely
4391,ordered
4392,breathtaking
4393,control
4394,increase
4395,muslims
4396,portugal
4397,queen
4398,became
4399,volunteer
4400,pounding
4401,payment
